Eye For An Eye (Feat. Dino Cazares & Burton C. Bell);Soulfly (Japanese Limited Edition);Soulfly;1998;215;1;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\1998 - Soulfly\01 - Eye For An Eye (feat. Dino Cazares & Burton C. Bell).mp3
No Hope = No Fear;Soulfly (Japanese Limited Edition);Soulfly;1998;276;2;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\1998 - Soulfly\02 - No Hope = No Fear.mp3
Bleed (Feat. Fred Durst & Dj Lethal);Soulfly (Japanese Limited Edition);Soulfly;1998;247;3;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\1998 - Soulfly\03 - Bleed (feat. Fred Durst & DJ Lethal).mp3
Tribe;Soulfly (Japanese Limited Edition);Soulfly;1998;363;4;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\1998 - Soulfly\04 - Tribe.mp3
Bumba (Feat. Los Hooligans);Soulfly (Japanese Limited Edition);Soulfly;1998;239;5;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\1998 - Soulfly\05 - Bumba (feat. Los Hooligans).mp3
First Commandment (Feat. Chino Moreno);Soulfly (Japanese Limited Edition);Soulfly;1998;270;6;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\1998 - Soulfly\06 - First Commandment (feat. Chino Moreno).mp3
Bumbklaatt;Soulfly (Japanese Limited Edition);Soulfly;1998;232;7;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\1998 - Soulfly\07 - Bumbklaatt.mp3
Soulfly;Soulfly (Japanese Limited Edition);Soulfly;1998;289;8;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\1998 - Soulfly\08 - Soulfly.mp3
Umbabarauma (Feat. Los Hooligans) (Jorge Ben Jor Cover);Soulfly (Japanese Limited Edition);Soulfly;1998;252;9;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\1998 - Soulfly\09 - Umbabarauma (feat. Los Hooligans) (Jorge Ben Jor cover).mp3
Quilombo (Feat. Benji Webbe & Dj Lethal);Soulfly (Japanese Limited Edition);Soulfly;1998;224;10;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\1998 - Soulfly\10 - Quilombo (feat. Benji Webbe & DJ Lethal).mp3
Fire;Soulfly (Japanese Limited Edition);Soulfly;1998;262;11;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\1998 - Soulfly\11 - Fire.mp3
The Song Remains Insane (Feat. D-Low & Chico Science);Soulfly (Japanese Limited Edition);Soulfly;1998;220;12;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\1998 - Soulfly\12 - The Song Remains Insane (feat. D-Low & Chico Science).mp3
No (Feat. Christian Olde Wolbers);Soulfly (Japanese Limited Edition);Soulfly;1998;240;13;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\1998 - Soulfly\13 - No (feat. Christian Olde Wolbers).mp3
Prejudice (Feat. Benji Webbe);Soulfly (Japanese Limited Edition);Soulfly;1998;413;14;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\1998 - Soulfly\14 - Prejudice (feat. Benji Webbe).mp3
Karmageddon;Soulfly (Japanese Limited Edition);Soulfly;1998;215;15;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\1998 - Soulfly\15 - Karmageddon.mp3
Cangaceiro (Bonus Track);Soulfly (Japanese Limited Edition);Soulfly;1998;139;16;Nu Metal/Groove Metal;D:\MUSICA\Soulfly\1998 - Soulfly\16 - Cangaceiro (Bonus track).mp3
